PositiveTrainSet,NegativeTrainSet,NeutralTrainSet,FeatureSetCode,TestSetLimit,Iteration,Accuracy,PrecisionPositive,PrecisionNegative,PrecisionNeutral,RecallPositive,RecallNegative,RecallNeutral,fScorePositive,fScoreNegative,fScoreAverage
1176,538,1723,12284,15,0,0.4,0.2633,0.3555,0.4675,0.208,0.357,0.4675,0.2324,0.3562,0.2943
2832,2051,5432,12284,15,1,0.4437,0.3197,0.3741,0.4926,0.3389,0.1317,0.4926,0.329,0.1948,0.2619
2587,1388,6340,12284,15,2,0.4857,0.379,0.4876,0.5174,0.4076,0.1488,0.5174,0.3928,0.228,0.3104
2817,1278,6220,12284,15,3,0.4083,0.2254,0.5195,0.5196,0.4413,0.1941,0.5196,0.2984,0.2826,0.2905
3788,1408,5119,12284,15,4,0.4613,0.1418,0.5322,0.4987,0.0863,0.2248,0.4987,0.1072,0.316,0.2116
1439,1426,7450,12284,15,5,0.4489,0.1502,0.5267,0.4986,0.1162,0.1415,0.4986,0.131,0.223,0.177
1835,1135,7345,12284,15,6,0.478,0.1367,0.4474,0.5033,0.032,0.214,0.5033,0.0518,0.2896,0.1707
1297,1899,7119,12284,15,7,0.4515,0.193,0.3376,0.4799,0.0396,0.1249,0.4799,0.0658,0.1824,0.1241
1478,932,7905,12284,15,8,0.4308,0.2104,0.3957,0.4769,0.1465,0.1543,0.4769,0.1728,0.222,0.1974
2212,1069,7034,12284,15,9,0.386,0.1101,0.2787,0.469,0.0749,0.1619,0.469,0.0892,0.2048,0.147
1661,808,7846,12284,15,10,0.4303,0.2629,0.3336,0.4716,0.0581,0.2417,0.4716,0.0952,0.2804,0.1878
